storm,year,month,fips,EmpLoss
Ivan,2004,Sep,01001,0
Ivan,2004,Sep,01003,284810
Ivan,2004,Sep,01005,0
Ivan,2004,Sep,01007,0
Ivan,2004,Sep,01009,0
Ivan,2004,Sep,01011,0
Ivan,2004,Sep,01013,70
Ivan,2004,Sep,01015,0
Ivan,2004,Sep,01017,0
Ivan,2004,Sep,01019,0
Ivan,2004,Sep,01021,0
Ivan,2004,Sep,01023,0
Ivan,2004,Sep,01025,1670.0000000000002
Ivan,2004,Sep,01027,0
Ivan,2004,Sep,01029,0
Ivan,2004,Sep,01031,0
Ivan,2004,Sep,01033,0
Ivan,2004,Sep,01035,3820
Ivan,2004,Sep,01037,0
Ivan,2004,Sep,01039,110
Ivan,2004,Sep,01041,0
Ivan,2004,Sep,01043,0
Ivan,2004,Sep,01045,0
Ivan,2004,Sep,01047,20
Ivan,2004,Sep,01049,0
Ivan,2004,Sep,01051,0
Ivan,2004,Sep,01053,33180
Ivan,2004,Sep,01055,0
Ivan,2004,Sep,01057,0
Ivan,2004,Sep,01059,0
Ivan,2004,Sep,01061,0
Ivan,2004,Sep,01063,0
Ivan,2004,Sep,01065,0
Ivan,2004,Sep,01067,0
Ivan,2004,Sep,01069,0
Ivan,2004,Sep,01071,0
Ivan,2004,Sep,01073,0
Ivan,2004,Sep,01075,0
Ivan,2004,Sep,01077,0
Ivan,2004,Sep,01079,0
Ivan,2004,Sep,01081,0
Ivan,2004,Sep,01083,0
Ivan,2004,Sep,01085,0
Ivan,2004,Sep,01087,0
Ivan,2004,Sep,01089,0
Ivan,2004,Sep,01091,0
Ivan,2004,Sep,01093,0
Ivan,2004,Sep,01095,0
Ivan,2004,Sep,01097,333760
Ivan,2004,Sep,01099,11800
Ivan,2004,Sep,01101,0
Ivan,2004,Sep,01103,0
Ivan,2004,Sep,01105,0
Ivan,2004,Sep,01107,0
Ivan,2004,Sep,01109,0
Ivan,2004,Sep,01111,0
Ivan,2004,Sep,01113,0
Ivan,2004,Sep,01115,0
Ivan,2004,Sep,01117,0
Ivan,2004,Sep,01119,0
Ivan,2004,Sep,01121,0
Ivan,2004,Sep,01123,0
Ivan,2004,Sep,01125,0
Ivan,2004,Sep,01127,0
Ivan,2004,Sep,01129,0
Ivan,2004,Sep,01131,180
Ivan,2004,Sep,01133,0
Ivan,2004,Sep,12005,0
Ivan,2004,Sep,12013,0
Ivan,2004,Sep,12033,348810
Ivan,2004,Sep,12037,0
Ivan,2004,Sep,12039,0
Ivan,2004,Sep,12045,0
Ivan,2004,Sep,12059,0
Ivan,2004,Sep,12063,0
Ivan,2004,Sep,12073,0
Ivan,2004,Sep,12077,0
Ivan,2004,Sep,12091,24270
Ivan,2004,Sep,12113,76500
Ivan,2004,Sep,12129,0
Ivan,2004,Sep,12131,580
Ivan,2004,Sep,12133,0
Ivan,2004,Sep,28001,0
Ivan,2004,Sep,28003,0
Ivan,2004,Sep,28005,0
Ivan,2004,Sep,28007,0
Ivan,2004,Sep,28009,0
Ivan,2004,Sep,28011,0
Ivan,2004,Sep,28013,0
Ivan,2004,Sep,28015,0
Ivan,2004,Sep,28017,0
Ivan,2004,Sep,28019,0
Ivan,2004,Sep,28021,0
Ivan,2004,Sep,28023,0
Ivan,2004,Sep,28025,0
Ivan,2004,Sep,28027,0
Ivan,2004,Sep,28029,0
Ivan,2004,Sep,28031,0
Ivan,2004,Sep,28033,0
Ivan,2004,Sep,28035,0
Ivan,2004,Sep,28037,0
Ivan,2004,Sep,28039,300
Ivan,2004,Sep,28041,0
Ivan,2004,Sep,28043,0
Ivan,2004,Sep,28045,0
Ivan,2004,Sep,28047,420
Ivan,2004,Sep,28049,0
Ivan,2004,Sep,28051,0
Ivan,2004,Sep,28053,0
Ivan,2004,Sep,28055,0
Ivan,2004,Sep,28057,0
Ivan,2004,Sep,28059,37230
Ivan,2004,Sep,28061,0
Ivan,2004,Sep,28063,0
Ivan,2004,Sep,28065,0
Ivan,2004,Sep,28067,0
Ivan,2004,Sep,28069,0
Ivan,2004,Sep,28071,0
Ivan,2004,Sep,28073,0
Ivan,2004,Sep,28075,0
Ivan,2004,Sep,28077,0
Ivan,2004,Sep,28079,0
Ivan,2004,Sep,28081,0
Ivan,2004,Sep,28083,0
Ivan,2004,Sep,28085,0
Ivan,2004,Sep,28087,0
Ivan,2004,Sep,28089,0
Ivan,2004,Sep,28091,0
Ivan,2004,Sep,28093,0
Ivan,2004,Sep,28095,0
Ivan,2004,Sep,28097,0
Ivan,2004,Sep,28099,0
Ivan,2004,Sep,28101,0
Ivan,2004,Sep,28103,0
Ivan,2004,Sep,28105,0
Ivan,2004,Sep,28107,0
Ivan,2004,Sep,28109,0
Ivan,2004,Sep,28111,0
Ivan,2004,Sep,28113,0
Ivan,2004,Sep,28115,0
Ivan,2004,Sep,28117,0
Ivan,2004,Sep,28119,0
Ivan,2004,Sep,28121,0
Ivan,2004,Sep,28123,0
Ivan,2004,Sep,28125,0
Ivan,2004,Sep,28127,0
Ivan,2004,Sep,28129,0
Ivan,2004,Sep,28131,0
Ivan,2004,Sep,28133,0
Ivan,2004,Sep,28135,0
Ivan,2004,Sep,28137,0
Ivan,2004,Sep,28139,0
Ivan,2004,Sep,28141,0
Ivan,2004,Sep,28143,0
Ivan,2004,Sep,28145,0
Ivan,2004,Sep,28147,0
Ivan,2004,Sep,28149,0
Ivan,2004,Sep,28151,0
Ivan,2004,Sep,28153,0
Ivan,2004,Sep,28155,0
Ivan,2004,Sep,28157,0
Ivan,2004,Sep,28159,0
Ivan,2004,Sep,28161,0
Ivan,2004,Sep,28163,0
Dennis,2005,Jul,01003,0
Dennis,2005,Jul,01097,0
Dennis,2005,Jul,12005,0
Dennis,2005,Jul,12033,66870
Dennis,2005,Jul,12059,0
Dennis,2005,Jul,12091,42440
Dennis,2005,Jul,12113,63740
Dennis,2005,Jul,12131,410
Dennis,2005,Jul,12133,0
Katrina,2005,Aug,01001,0
Katrina,2005,Aug,01003,1120
Katrina,2005,Aug,01005,0
Katrina,2005,Aug,01007,0
Katrina,2005,Aug,01009,0
Katrina,2005,Aug,01011,0
Katrina,2005,Aug,01013,0
Katrina,2005,Aug,01015,0
Katrina,2005,Aug,01017,0
Katrina,2005,Aug,01019,0
Katrina,2005,Aug,01021,0
Katrina,2005,Aug,01023,190
Katrina,2005,Aug,01025,0
Katrina,2005,Aug,01027,0
Katrina,2005,Aug,01029,0
Katrina,2005,Aug,01031,0
Katrina,2005,Aug,01033,0
Katrina,2005,Aug,01035,0
Katrina,2005,Aug,01037,0
Katrina,2005,Aug,01039,0
Katrina,2005,Aug,01041,0
Katrina,2005,Aug,01043,0
Katrina,2005,Aug,01045,0
Katrina,2005,Aug,01047,0
Katrina,2005,Aug,01049,0
Katrina,2005,Aug,01051,0
Katrina,2005,Aug,01053,0
Katrina,2005,Aug,01055,0
Katrina,2005,Aug,01057,0
Katrina,2005,Aug,01059,0
Katrina,2005,Aug,01061,0
Katrina,2005,Aug,01063,220
Katrina,2005,Aug,01065,0
Katrina,2005,Aug,01067,0
Katrina,2005,Aug,01069,0
Katrina,2005,Aug,01071,0
Katrina,2005,Aug,01073,0
Katrina,2005,Aug,01075,0
Katrina,2005,Aug,01077,0
Katrina,2005,Aug,01079,0
Katrina,2005,Aug,01081,0
Katrina,2005,Aug,01083,0
Katrina,2005,Aug,01085,0
Katrina,2005,Aug,01087,0
Katrina,2005,Aug,01089,0
Katrina,2005,Aug,01091,0
Katrina,2005,Aug,01093,10
Katrina,2005,Aug,01095,0
Katrina,2005,Aug,01097,79270
Katrina,2005,Aug,01099,0
Katrina,2005,Aug,01101,0
Katrina,2005,Aug,01103,0
Katrina,2005,Aug,01105,0
Katrina,2005,Aug,01107,690
Katrina,2005,Aug,01109,0
Katrina,2005,Aug,01111,0
Katrina,2005,Aug,01113,0
Katrina,2005,Aug,01115,0
Katrina,2005,Aug,01117,0
Katrina,2005,Aug,01119,9740
Katrina,2005,Aug,01121,0
Katrina,2005,Aug,01123,0
Katrina,2005,Aug,01125,20
Katrina,2005,Aug,01127,0
Katrina,2005,Aug,01129,330
Katrina,2005,Aug,01131,0
Katrina,2005,Aug,01133,0
Katrina,2005,Aug,22001,0
Katrina,2005,Aug,22003,0
Katrina,2005,Aug,22005,0
Katrina,2005,Aug,22007,0
Katrina,2005,Aug,22009,0
Katrina,2005,Aug,22011,0
Katrina,2005,Aug,22013,0
Katrina,2005,Aug,22015,0
Katrina,2005,Aug,22017,0
Katrina,2005,Aug,22019,0
Katrina,2005,Aug,22021,0
Katrina,2005,Aug,22023,0
Katrina,2005,Aug,22025,0
Katrina,2005,Aug,22027,0
Katrina,2005,Aug,22029,0
Katrina,2005,Aug,22031,0
Katrina,2005,Aug,22033,0
Katrina,2005,Aug,22035,0
Katrina,2005,Aug,22037,0
Katrina,2005,Aug,22039,0
Katrina,2005,Aug,22041,0
Katrina,2005,Aug,22043,0
Katrina,2005,Aug,22045,0
Katrina,2005,Aug,22047,0
Katrina,2005,Aug,22049,0
Katrina,2005,Aug,22051,354940
Katrina,2005,Aug,22053,0
Katrina,2005,Aug,22055,0
Katrina,2005,Aug,22057,20730
Katrina,2005,Aug,22059,0
Katrina,2005,Aug,22061,0
Katrina,2005,Aug,22063,90
Katrina,2005,Aug,22065,0
Katrina,2005,Aug,22067,0
Katrina,2005,Aug,22069,0
Katrina,2005,Aug,22071,609150
Katrina,2005,Aug,22073,0
Katrina,2005,Aug,22075,106940
Katrina,2005,Aug,22077,0
Katrina,2005,Aug,22079,0
Katrina,2005,Aug,22081,0
Katrina,2005,Aug,22083,0
Katrina,2005,Aug,22085,0
Katrina,2005,Aug,22087,34860
Katrina,2005,Aug,22089,23690
Katrina,2005,Aug,22091,360
Katrina,2005,Aug,22093,280
Katrina,2005,Aug,22095,9830
Katrina,2005,Aug,22097,0
Katrina,2005,Aug,22099,0
Katrina,2005,Aug,22101,0
Katrina,2005,Aug,22103,176930
Katrina,2005,Aug,22105,13310
Katrina,2005,Aug,22107,0
Katrina,2005,Aug,22109,3570
Katrina,2005,Aug,22111,0
Katrina,2005,Aug,22113,0
Katrina,2005,Aug,22115,0
Katrina,2005,Aug,22117,38500
Katrina,2005,Aug,22119,0
Katrina,2005,Aug,22121,0
Katrina,2005,Aug,22123,0
Katrina,2005,Aug,22125,0
Katrina,2005,Aug,22127,0
Katrina,2005,Aug,28001,0
Katrina,2005,Aug,28003,0
Katrina,2005,Aug,28005,0
Katrina,2005,Aug,28007,0
Katrina,2005,Aug,28009,0
Katrina,2005,Aug,28011,0
Katrina,2005,Aug,28013,0
Katrina,2005,Aug,28015,0
Katrina,2005,Aug,28017,0
Katrina,2005,Aug,28019,0
Katrina,2005,Aug,28021,0
Katrina,2005,Aug,28023,3720
Katrina,2005,Aug,28025,0
Katrina,2005,Aug,28027,0
Katrina,2005,Aug,28029,0
Katrina,2005,Aug,28031,10610
Katrina,2005,Aug,28033,0
Katrina,2005,Aug,28035,180100
Katrina,2005,Aug,28037,0
Katrina,2005,Aug,28039,18830
Katrina,2005,Aug,28041,5560
Katrina,2005,Aug,28043,0
Katrina,2005,Aug,28045,80640
Katrina,2005,Aug,28047,745830
Katrina,2005,Aug,28049,0
Katrina,2005,Aug,28051,0
Katrina,2005,Aug,28053,0
Katrina,2005,Aug,28055,0
Katrina,2005,Aug,28057,0
Katrina,2005,Aug,28059,157590
Katrina,2005,Aug,28061,3990
Katrina,2005,Aug,28063,0
Katrina,2005,Aug,28065,4090
Katrina,2005,Aug,28067,79560
Katrina,2005,Aug,28069,3650
Katrina,2005,Aug,28071,0
Katrina,2005,Aug,28073,72270
Katrina,2005,Aug,28075,11940
Katrina,2005,Aug,28077,1140
Katrina,2005,Aug,28079,0
Katrina,2005,Aug,28081,0
Katrina,2005,Aug,28083,0
Katrina,2005,Aug,28085,210
Katrina,2005,Aug,28087,490
Katrina,2005,Aug,28089,0
Katrina,2005,Aug,28091,32880
Katrina,2005,Aug,28093,0
Katrina,2005,Aug,28095,0
Katrina,2005,Aug,28097,0
Katrina,2005,Aug,28099,290.00000000000006
Katrina,2005,Aug,28101,2160
Katrina,2005,Aug,28103,190
Katrina,2005,Aug,28105,0
Katrina,2005,Aug,28107,0
Katrina,2005,Aug,28109,50790
Katrina,2005,Aug,28111,15890
Katrina,2005,Aug,28113,4930
Katrina,2005,Aug,28115,0
Katrina,2005,Aug,28117,0
Katrina,2005,Aug,28119,0
Katrina,2005,Aug,28121,10
Katrina,2005,Aug,28123,300
Katrina,2005,Aug,28125,0
Katrina,2005,Aug,28127,4580
Katrina,2005,Aug,28129,2010
Katrina,2005,Aug,28131,35340
Katrina,2005,Aug,28133,0
